MacroPlot Purpose,MacroPlot UTM X,MacroPlot UTM Y,MacroPlot UTM Zone,MacroPlot Name,Monitoring Status,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,00Pre,8/10/2010 7:52,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,00Pre,8/10/2010 7:52,-2147483648,1,202,9,3,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,00Pre,8/10/2010 7:52,-2147483647,2,248,36,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,00Pre,8/10/2010 7:52,-2147483646,3,164,12,0,5,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,00Pre,8/10/2010 7:52,-2147483645,4,124,30,1,3,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Post,9/27/2013 16:14,,,,,,,,,,,,,4,6,6,12,cd,cd,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Post,9/27/2013 16:14,-2147483648,1,202,9,1,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Post,9/27/2013 16:14,-2147483647,2,248,36,2,8,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Post,9/27/2013 16:14,-2147483646,3,164,12,2,4,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Post,9/27/2013 16:14,-2147483645,4,124,30,4,4,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year01,9/27/2013 9:49,,,,,,,,,,,,,4,6,6,12,cd,cd,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year01,9/27/2013 9:49,-2147483648,1,202,9,1,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year01,9/27/2013 9:49,-2147483647,2,248,36,2,8,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year01,9/27/2013 9:49,-2147483646,3,164,12,2,4,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year01,9/27/2013 9:49,-2147483645,4,124,30,4,4,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year02,9/26/2014 15:27,,,,,,,,,,,,,4,6,6,12,cd; jrb; sm,cd; jrb; sm,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year02,9/26/2014 15:27,-2147483648,1,202,9,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year02,9/26/2014 15:27,-2147483647,2,248,36,0,7,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year02,9/26/2014 15:27,-2147483646,3,164,12,1,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,03Year02,9/26/2014 15:27,-2147483645,4,124,30,3,6,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Post,7/1/2017 17:58,,,,,,,,,,,,,4,6,6,12,TS CS,TS CS,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Post,7/1/2017 17:58,-2147483648,1,202,9,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Post,7/1/2017 17:58,-2147483647,2,248,36,0,3,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Post,7/1/2017 17:58,-2147483646,3,164,12,4,3,5,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Post,7/1/2017 17:58,-2147483645,4,124,30,1,13,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year02,7/1/2017 18:01,,,,,,,,,,,,,4,6,6,12,TS; CS,TS;CS,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year02,7/1/2017 18:01,-2147483648,1,202,9,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year02,7/1/2017 18:01,-2147483647,2,248,36,0,3,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year02,7/1/2017 18:01,-2147483646,3,164,12,4,3,5,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year02,7/1/2017 18:01,-2147483645,4,124,30,1,13,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year05,7/20/2020 14:16,,,,,,,,,,,,,4,6,6,12,NH,NH,,,,,TRUE
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year05,7/20/2020 14:16,-2147483648,1,202,9,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year05,7/20/2020 14:16,-2147483647,2,248,36,0,3,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year05,7/20/2020 14:16,-2147483646,3,164,12,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414673,5373066,11U,FPIPO1D10-29,15Year05,7/20/2020 14:16,-2147483645,4,124,30,0,8,5,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,00Pre,6/12/2010 13:36,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,00Pre,6/12/2010 13:36,-2147483648,1,339,12,9,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,00Pre,6/12/2010 13:36,-2147483647,2,86,57,2,4,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,00Pre,6/12/2010 13:36,-2147483646,3,280,45,0,2,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,00Pre,6/12/2010 13:36,-2147483645,4,170,15,0,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Post,5/26/2013 13:08,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Post,5/26/2013 13:08,-2147483648,1,339,12,1,7,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Post,5/26/2013 13:08,-2147483647,2,86,57,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Post,5/26/2013 13:08,-2147483646,3,280,45,0,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Post,5/26/2013 13:08,-2147483645,4,170,16,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year01,5/26/2013 10:47,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year01,5/26/2013 10:47,-2147483648,1,339,12,1,7,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year01,5/26/2013 10:47,-2147483647,2,86,57,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year01,5/26/2013 10:47,-2147483646,3,280,45,0,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year01,5/26/2013 10:47,-2147483645,4,170,16,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year02,6/28/2014 15:29,,,,,,,,,,,,,4,6,6,12,CD; JRB,CD; JRB,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year02,6/28/2014 15:29,-2147483648,1,339,12,2,7,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year02,6/28/2014 15:29,-2147483647,2,86,57,0,0,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year02,6/28/2014 15:29,-2147483646,3,280,45,0,4,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,03Year02,6/28/2014 15:29,-2147483645,4,170,15,0,0,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Post,6/30/2017 18:05,,,,,,,,,,,,,4,6,6,12,CS TS,CS TS,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Post,6/30/2017 18:05,-2147483648,1,339,12,4,6,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Post,6/30/2017 18:05,-2147483647,2,86,57,0,2,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Post,6/30/2017 18:05,-2147483646,3,280,45,0,7,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Post,6/30/2017 18:05,-2147483645,4,170,15,3,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year02,6/30/2017 18:08,,,,,,,,,,,,,4,6,6,12,TS; CS,TS; CS,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year02,6/30/2017 18:08,-2147483648,1,339,12,4,6,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year02,6/30/2017 18:08,-2147483647,2,86,57,0,2,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year02,6/30/2017 18:08,-2147483646,3,280,45,0,7,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year02,6/30/2017 18:08,-2147483645,4,170,15,3,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year05,7/20/2020 14:20,,,,,,,,,,,,,4,6,6,12,IW,IW,,,,,TRUE
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year05,7/20/2020 14:20,-2147483648,1,339,12,1,2,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year05,7/20/2020 14:20,-2147483647,2,86,57,0,4,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year05,7/20/2020 14:20,-2147483646,3,280,45,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414773,5373298,11U,FPIPO1D10-31,15Year05,7/20/2020 14:20,-2147483645,4,170,15,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,00Pre,6/12/2010 8:07,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,00Pre,6/12/2010 8:07,-2147483648,1,289,27,3,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,00Pre,6/12/2010 8:07,-2147483647,2,75,15,0,2,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,00Pre,6/12/2010 8:07,-2147483646,3,138,40,1,3,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,00Pre,6/12/2010 8:07,-2147483645,4,194,14,6,4,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Post,9/28/2013 15:22,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Post,9/28/2013 15:22,-2147483648,1,289,27,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Post,9/28/2013 15:22,-2147483647,2,75,15,0,0,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Post,9/28/2013 15:22,-2147483646,3,128,40,0,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Post,9/28/2013 15:22,-2147483645,4,194,14,0,7,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year01,9/28/2013 10:42,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year01,9/28/2013 10:42,-2147483648,1,289,27,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year01,9/28/2013 10:42,-2147483647,2,75,15,0,0,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year01,9/28/2013 10:42,-2147483646,3,138,40,0,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year01,9/28/2013 10:42,-2147483645,4,194,14,0,7,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year02,6/27/2014 15:28,,,,,,,,,,,,,4,6,6,12,SM; JRB,SM; JRB,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year02,6/27/2014 15:28,-2147483648,1,289,27,0,7,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year02,6/27/2014 15:28,-2147483647,2,75,15,0,10,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year02,6/27/2014 15:28,-2147483646,3,138,40,1,6,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,03Year02,6/27/2014 15:28,-2147483645,4,194,14,0,5,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Post,6/29/2017 18:03,,,,,,,,,,,,,4,6,6,12,CS TS,CS TS,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Post,6/29/2017 18:03,-2147483648,1,289,27,0,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Post,6/29/2017 18:03,-2147483647,2,75,15,0,2,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Post,6/29/2017 18:03,-2147483646,3,138,40,0,3,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Post,6/29/2017 18:03,-2147483645,4,194,14,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year02,6/29/2017 18:07,,,,,,,,,,,,,4,6,6,12,CS TS,CS TS,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year02,6/29/2017 18:07,-2147483648,1,289,27,0,3,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year02,6/29/2017 18:07,-2147483647,2,75,15,0,2,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year02,6/29/2017 18:07,-2147483646,3,138,40,0,3,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year02,6/29/2017 18:07,-2147483645,4,194,14,1,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year05,7/19/2020 14:18,,,,,,,,,,,,,4,6,6,12,IW,IW,,,,,TRUE
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year05,7/19/2020 14:18,-2147483648,1,289,27,0,8,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year05,7/19/2020 14:18,-2147483647,2,75,15,0,5,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year05,7/19/2020 14:18,-2147483646,3,138,40,1,2,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414823,5373393,11U,FPIPO1D10-30,15Year05,7/19/2020 14:18,-2147483645,4,194,14,2,4,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,00Pre,6/13/2010 13:43,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,00Pre,6/13/2010 13:43,-2147483648,1,68,20,3,5,6,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,00Pre,6/13/2010 13:43,-2147483647,2,211,10,1,5,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,00Pre,6/13/2010 13:43,-2147483646,3,163,38,2,5,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,00Pre,6/13/2010 13:43,-2147483645,4,282,10,11,6,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Post,5/10/2012 11:53,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Post,5/10/2012 11:53,-2147483648,1,68,20,3,17,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Post,5/10/2012 11:53,-2147483647,2,211,10,2,9,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Post,5/10/2012 11:53,-2147483646,3,163,38,2,6,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Post,5/10/2012 11:53,-2147483645,4,282,10,1,9,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year01,5/10/2012 10:37,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year01,5/10/2012 10:37,-2147483648,1,68,20,3,17,2,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year01,5/10/2012 10:37,-2147483647,2,211,10,2,9,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year01,5/10/2012 10:37,-2147483646,3,163,38,2,6,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year01,5/10/2012 10:37,-2147483645,4,282,10,1,9,4,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year02,5/26/2013 10:53,,,,,,,,,,,,,4,6,6,12,,,,,,,TRUE
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year02,5/26/2013 10:53,-2147483648,1,68,20,6,15,3,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year02,5/26/2013 10:53,-2147483647,2,211,10,6,4,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year02,5/26/2013 10:53,-2147483646,3,163,38,1,1,1,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,10Year02,5/26/2013 10:53,-2147483645,4,282,10,2,11,5,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,19Post,6/29/2017 18:19,,,,,,,,,,,,,4,6,6,12,CD;TS,CD; TS,,,,,TRUE
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,19Post,6/29/2017 18:19,-2147483648,1,68,20,5,5,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,19Post,6/29/2017 18:19,-2147483647,2,211,10,0,2,0,LARO,,,,,,,,,,,,,,,
Bradbury Beach,414904,5373499,11U,FPIPO1D10-34,19Post,6/29/2017 18:19,-2147483646,3,163,38,4,1,0,LARO,,,,,,,,,,,,,,,
