LARO Fire Effects Monitoring Program,,,,,,,,,,,,,,,,,,,,,,
Plot History and Schedule,,,,,,,,,,,,,,,,,,,,,,
updated: 8/18/20 CD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Burn Unit,Subunit,Plot ,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CLARK ,3,FPIPO1D01-37,,,,,,,,,,,"00PRE, THIN ",PB, ,PB," 03POST, 03YR01",03YR02,,,03YR05,
BRADBURY,2,FPIPO1D01-29,,,,,,,,,,00PRE,THIN, PB,"03POST, 03YR01",03YR02, PB,"15POST, 15YR01","15POST, 15YR02",,,15YR05
BRADBURY,2,FPIPO1D01-30,,,,,,,,,,00PRE,THIN, PB,"03POST, 03YR01",03YR02, PB,"15POST, 15YR01","15POST, 15YR02",,,15YR05
BRADBURY,2,FPIPO1D01-31,,,,,,,,,,00PRE,THIN, PB,"03POST, 03YR01",03YR02, PB,"15POST, 15YR01","15POST, 15YR02",,,15YR05
BRADBURY,2,FPIPO1D01-32,,,,,,,,,,00PRE,"THIN, PB*"," 10POST, 10YR01",10YR02,, PB,"19POST, 19YR01","19POST,19YR02",,,19YR05
BRADBURY,2,FPIPO1D01-33,,,,,,,,,,00PRE,THIN, PB,"03POST, 03YR01",03YR02, PB,"15POST, 15YR01","15POST, 15YR02",,,15YR05
BRADBURY,2,FPIPO1D01-34,,,,,,,,,,00PRE,"THIN, PB*","10POST, 10YR01",10YR02,, PB,"19POST, 18YR01","19POST,19YR02",,,19YR05
GIFFORD FERRY ,1,FPIPO1D01-38,,,,,,,,,,,,"00PRE, THIN, PB","03POST, 03YR01",03YR02, , ,03YR05,,,
GIFFORD FERRY ,1,FPIPO1D01-39,,,,,,,,,,,,"00PRE, THIN, PB","03POST, 03YR01",03YR02,03YR03, ,03YR05,,,
GIFFORD FERRY ,1,FPIPO1D01-40,,,,,,,,,,,,"00PRE, THIN, PB","03POST, 03YR01",03YR02,03YR03, ,03YR05,,,
KETTLE FALLS   ,3,FPIPO1D01-41,,,,,,,,,,,,,,"00PRE, THIN, PB",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
KETTLE FALLS   ,3,FPIPO1D01-42,,,,,,,,,,,,,,"00PRE, THIN, PB",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
KETTLE FALLS   ,3,FPIPO1D01-43,,,,,,,,,,,,,,"00PRE, THIN, PB",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
KETTLE FALLS   ,4,FPIPO1D01-44,,,,,,,,,,,,,,"00PRE, THIN",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
KETTLE FALLS   ,4,FPIPO1D01-45,,,,,,,,,,,,,,"00PRE, THIN",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
KETTLE FALLS   ,4,FPIPO1D01-46,,,,,,,,,,,,,,"00PRE, THIN",PB," 03POST, 03YR01","03POST, 03YR02",,,03YR05
PONDEROSA,n/a ,FPIPO1D01-50,,,,,,,,,,,,,,,00PRE,"THIN, PB","03POST, 03YR01","03POST, 03YR02",,
PONDEROSA,n/a ,FPIPO1D01-51,,,,,,,,,,,,,,,00PRE,"THIN, PB","03POST, 03YR01","03POST, 03YR02",,
PONDEROSA,n/a ,FPIPO1D01-52,,,,,,,,,,,,,,,00PRE,"THIN, PB","03POST, 03YR01","03POST, 03YR02",,
COPA,n/a ,FPIPO1D01-53,,,,,,,,,,,,,,,,"00PRE, THIN",PB,"03POST, 03YR01 ","03POST, 03YR02",
COPA,n/a ,FPIPO1D01-54,,,,,,,,,,,,,,,,"00PRE, THIN",PB,"03POST, 03YR01","03POST, 03YR02",
LOG YARD,C,FPIPO1D01-55,,,,,,,,,,,,,,,,"00PRE, THIN",PB,"03POST, 03YR01 ","03POST, 03YR02",
LOG YARD,C,FPIPO1D01-56,,,,,,,,,,,,,,,,"00PRE, THIN",PB,"03POST, 03YR01","03POST, 03YR02",
RIVER WAY,B,FPIPO1D01-57,,,,,,,,,,,,,,,,00PRE,,,,
RIVER WAY,B,FPIPO1D01-58,,,,,,,,,,,,,,,,00PRE,,,,
RIVER WAY,B,FPIPO1D01-59,,,,,,,,,,,,,,,,00PRE,,,,
RIVER WAY,B,FPIPO1D01-60,,,,,,,,,,,,,,,,00PRE,,,,
STERLING VALLEY,1,FPIPO2D01-01,,,,,,,,,,,"00PRE, THIN",PB*,"03POST, 03YR01",03YR02, , ,03YR05,,,
STERLING VALLEY,1,FPIPO2D01-02,,,,,,,,,,,"00PRE, THIN",PB*,"03POST, 03YR01",03YR02, , ,03YR05,,,
STERLING VALLEY,1,FPIPO2D01-03,,,,,,,,,,,"00PRE, THIN",PB*,"03POST, 03YR01",03YR02, , ,03YR05,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
